article_title,country,lastrevid,article_quality,population,region
Abdul Karim Misaq,Afghanistan,1052669338.0,Stub,41.1,SOUTH ASIA
Ali Mohammad (politician),Afghanistan,1050463798.0,Stub,41.1,SOUTH ASIA
Nasruddin Mohseni,Afghanistan,1095044526.0,Start,41.1,SOUTH ASIA
Davood Moradian,Afghanistan,1106284627.0,Stub,41.1,SOUTH ASIA
Zalmai Mujadidi,Afghanistan,1104635001.0,Start,41.1,SOUTH ASIA
Fazal Haq Mujahid,Afghanistan,1113267490.0,C,41.1,SOUTH ASIA
Rahmatullah Nabil,Afghanistan,1112496538.0,Start,41.1,SOUTH ASIA
Sardar Mohammad Nadir Naeem,Afghanistan,1038680015.0,Stub,41.1,SOUTH ASIA
Daoud Naji,Afghanistan,1110983467.0,Start,41.1,SOUTH ASIA
Gholam Rabani Nasher,Afghanistan,916899472.0,Stub,41.1,SOUTH ASIA
Muhammad Yunus Nawandish,Afghanistan,1111494390.0,C,41.1,SOUTH ASIA
Ali Maisam Nazary,Afghanistan,1107279930.0,Start,41.1,SOUTH ASIA
Ghulam Faroq Nijrabi,Afghanistan,1093612575.0,Stub,41.1,SOUTH ASIA
Zabih-U-llah Ghazi Noristani,Afghanistan,1001786762.0,Start,41.1,SOUTH ASIA
Mohammed Tahir Omar,Afghanistan,996093541.0,Stub,41.1,SOUTH ASIA
Nasrin Oryakhil,Afghanistan,1097277701.0,Start,41.1,SOUTH ASIA
Murad Quenili,Afghanistan,1093963498.0,Stub,41.1,SOUTH ASIA
Ghulam Mohammad Rigi,Afghanistan,918256992.0,Stub,41.1,SOUTH ASIA
Ghulam Hassan Safi,Afghanistan,987269301.0,Stub,41.1,SOUTH ASIA
Hanifa Safi,Afghanistan,994195074.0,Stub,41.1,SOUTH ASIA
Amrullah Saleh,Afghanistan,1115022704.0,FA,41.1,SOUTH ASIA
Mohammed Zia Salehi,Afghanistan,889806024.0,Stub,41.1,SOUTH ASIA
Abdul Majid Samim,Afghanistan,1098092701.0,Stub,41.1,SOUTH ASIA
Saber Sangar,Afghanistan,1019860497.0,Stub,41.1,SOUTH ASIA
Muhammad Arif Sarwari,Afghanistan,1079170926.0,Start,41.1,SOUTH ASIA
Sayed Nasim Mihanparast,Afghanistan,1115496635.0,Stub,41.1,SOUTH ASIA
Sayyid Husayn,Afghanistan,1095559301.0,Stub,41.1,SOUTH ASIA
Suhail Shaheen,Afghanistan,1102910228.0,Start,41.1,SOUTH ASIA
Mohammad Shakir Kargar,Afghanistan,1096574840.0,C,41.1,SOUTH ASIA
Baktash Siawash,Afghanistan,1111917754.0,Stub,41.1,SOUTH ASIA
Awtar Singh,Afghanistan,1115100619.0,Stub,41.1,SOUTH ASIA
Hasan Ali Sultani,Afghanistan,1060706902.0,Stub,41.1,SOUTH ASIA
Faramarz Tamanna,Afghanistan,1106885861.0,C,41.1,SOUTH ASIA
Mohammad Hashem Taufiqui,Afghanistan,1021308429.0,Start,41.1,SOUTH ASIA
Nur ul-Haq Ulumi,Afghanistan,1107429109.0,GA,41.1,SOUTH ASIA
Pacha Gul Wafadar,Afghanistan,1020846299.0,Stub,41.1,SOUTH ASIA
Wahidullah Waissi,Afghanistan,1111508295.0,C,41.1,SOUTH ASIA
Gul Ahmmad Yama,Afghanistan,1060707715.0,Start,41.1,SOUTH ASIA
Al-Haj Suliman Yari,Afghanistan,1092426408.0,Stub,41.1,SOUTH ASIA
Abdul Salam Zaeef,Afghanistan,1106388504.0,GA,41.1,SOUTH ASIA
Abdul Zahir (Konar Education Minister),Afghanistan,1097261199.0,Stub,41.1,SOUTH ASIA
Mohammed Zaman,Afghanistan,1108389318.0,Start,41.1,SOUTH ASIA
Ziauddin (Afghan militia leader),Afghanistan,1095799892.0,Start,41.1,SOUTH ASIA
Qari Ziauddin,Afghanistan,1033608758.0,Start,41.1,SOUTH ASIA
Abdul Ghafor Zori,Afghanistan,994023417.0,Stub,41.1,SOUTH ASIA
Ali Pasha of Gusinje,Albania,1114426634.0,GA,2.8,SOUTHERN EUROPE
Ylli Asllani,Albania,949182924.0,Start,2.8,SOUTHERN EUROPE
Azis Tahir Ajdonati,Albania,994501003.0,Stub,2.8,SOUTHERN EUROPE
Bislim Bajgora,Albania,1091800566.0,Start,2.8,SOUTHERN EUROPE
Kastriot Berissa,Albania,1094050369.0,Start,2.8,SOUTHERN EUROPE
Bardhok Biba,Albania,1110580984.0,C,2.8,SOUTHERN EUROPE
Dervish Biçaku,Albania,1106794267.0,Stub,2.8,SOUTHERN EUROPE
Kostandin Boshnjaku,Albania,1107876476.0,C,2.8,SOUTHERN EUROPE
Spartak Braho,Albania,1098235893.0,Start,2.8,SOUTHERN EUROPE
Safet Butka,Albania,1067080697.0,C,2.8,SOUTHERN EUROPE
Uran Butka,Albania,1087272778.0,Start,2.8,SOUTHERN EUROPE
Refo Çapari,Albania,1061419179.0,Start,2.8,SOUTHERN EUROPE
Neritan Ceka,Albania,1095178618.0,Start,2.8,SOUTHERN EUROPE
Hysni Curri,Albania,1114418989.0,Start,2.8,SOUTHERN EUROPE
Ibrahim Dalliu,Albania,1087026828.0,Start,2.8,SOUTHERN EUROPE
Niazi Demi,Albania,1104589367.0,Stub,2.8,SOUTHERN EUROPE
Abdurrahman Dibra,Albania,1101365003.0,Start,2.8,SOUTHERN EUROPE
Fuad Dibra,Albania,1079550815.0,Start,2.8,SOUTHERN EUROPE
Isuf Dibra,Albania,1108975040.0,Start,2.8,SOUTHERN EUROPE
Bujar Dida,Albania,1112281152.0,C,2.8,SOUTHERN EUROPE
Ahmed Dino,Albania,1114424802.0,Stub,2.8,SOUTHERN EUROPE
Rasih Dino,Albania,1067061654.0,Stub,2.8,SOUTHERN EUROPE
Ferhat Bey Draga,Albania,1101927317.0,C,2.8,SOUTHERN EUROPE
Nexhip Draga,Albania,1092914547.0,GA,2.8,SOUTHERN EUROPE
Aqif Pasha Elbasani,Albania,1114425909.0,B,2.8,SOUTHERN EUROPE
Abas Ermenji,Albania,1073827690.0,Start,2.8,SOUTHERN EUROPE
Bajram Fevziu,Albania,1089008480.0,Start,2.8,SOUTHERN EUROPE
Qamil Musa Haxhi Feza,Albania,1015553118.0,Stub,2.8,SOUTHERN EUROPE
Themistokli Gërmenji,Albania,1099714241.0,C,2.8,SOUTHERN EUROPE
Sabri Godo,Albania,1105835401.0,C,2.8,SOUTHERN EUROPE
Mihal Grameno,Albania,1095879069.0,C,2.8,SOUTHERN EUROPE
Aćif Hadžiahmetović,Albania,1104696112.0,GA,2.8,SOUTHERN EUROPE
Albulena Haxhiu,Albania,1095286065.0,Stub,2.8,SOUTHERN EUROPE
High Council of Regency,Albania,1107096289.0,C,2.8,SOUTHERN EUROPE
Spiridon Kacarosi,Albania,993288548.0,Stub,2.8,SOUTHERN EUROPE
Kurt Agë Kadiu,Albania,998414015.0,Stub,2.8,SOUTHERN EUROPE
Mehmed Kalakula,Albania,979382854.0,Stub,2.8,SOUTHERN EUROPE
Alfred Karamuço,Albania,1098236555.0,Stub,2.8,SOUTHERN EUROPE
Ibrahim Karbunara,Albania,1053849574.0,Start,2.8,SOUTHERN EUROPE
Ali Këlcyra,Albania,1069956844.0,C,2.8,SOUTHERN EUROPE
Belind Këlliçi,Albania,1115829687.0,C,2.8,SOUTHERN EUROPE
Bajram Kelmendi,Albania,1098232331.0,Start,2.8,SOUTHERN EUROPE
Kristo Kirka,Albania,1071577370.0,C,2.8,SOUTHERN EUROPE
Elez Koçi,Albania,919356105.0,Start,2.8,SOUTHERN EUROPE
Ali Riza Kolonja,Albania,1095185542.0,Start,2.8,SOUTHERN EUROPE
Glauk Konjufca,Albania,1110511667.0,Start,2.8,SOUTHERN EUROPE
Xhelal Koprëncka,Albania,1106794268.0,Stub,2.8,SOUTHERN EUROPE
Kryeziu family,Albania,1113466121.0,Start,2.8,SOUTHERN EUROPE
Artur Kuko,Albania,1112281132.0,Stub,2.8,SOUTHERN EUROPE
Xhavid Leskoviku,Albania,1080104315.0,Start,2.8,SOUTHERN EUROPE
Sabit Lulo,Albania,1071576324.0,Stub,2.8,SOUTHERN EUROPE
Gjon Markagjoni,Albania,1114419158.0,C,2.8,SOUTHERN EUROPE
Tefik Mborja,Albania,1112281218.0,Start,2.8,SOUTHERN EUROPE
Fatmir Mediu,Albania,1108640753.0,Stub,2.8,SOUTHERN EUROPE
Hysni Milloshi,Albania,1111101481.0,Start,2.8,SOUTHERN EUROPE
Musa Qazimi,Albania,1085455681.0,GA,2.8,SOUTHERN EUROPE
Mustafa Ndroqi,Albania,1091483288.0,Stub,2.8,SOUTHERN EUROPE
Behxhet Nepravishta,Albania,1114419169.0,Stub,2.8,SOUTHERN EUROPE
Adrian Neritani,Albania,1112281129.0,Start,2.8,SOUTHERN EUROPE
Sali Nivica,Albania,1074384873.0,Start,2.8,SOUTHERN EUROPE
Thoma Orologa,Albania,1114419178.0,Start,2.8,SOUTHERN EUROPE
Bedri Pejani,Albania,1080373501.0,C,2.8,SOUTHERN EUROPE
Pertef Pogoni,Albania,1071576384.0,Stub,2.8,SOUTHERN EUROPE
Kadri Prishtina,Albania,1115424613.0,Start,2.8,SOUTHERN EUROPE
Ymer Prizreni,Albania,1114419180.0,Start,2.8,SOUTHERN EUROPE
Avni Rustemi,Albania,1113688253.0,C,2.8,SOUTHERN EUROPE
Chatin Sarachi,Albania,1089622596.0,C,2.8,SOUTHERN EUROPE
Nebi Sefa,Albania,978173646.0,Stub,2.8,SOUTHERN EUROPE
Eduard Shalsi,Albania,1090651886.0,Start,2.8,SOUTHERN EUROPE
Ylli Vesel Shehu,Albania,1002857261.0,Stub,2.8,SOUTHERN EUROPE
Athanas Shundi,Albania,1090001664.0,B,2.8,SOUTHERN EUROPE
Xhelal Sveçla,Albania,1110419834.0,Start,2.8,SOUTHERN EUROPE
Mehmet Tahsini,Albania,1089358942.0,Stub,2.8,SOUTHERN EUROPE
Ibrahim Temo,Albania,1114899959.0,GA,2.8,SOUTHERN EUROPE
Pavli Terka,Albania,1107079359.0,Start,2.8,SOUTHERN EUROPE
Afrim Tole,Albania,1091240960.0,Stub,2.8,SOUTHERN EUROPE
Sejfi Vllamasi,Albania,1073823015.0,Start,2.8,SOUTHERN EUROPE
Syrja Vlora,Albania,1109383587.0,Start,2.8,SOUTHERN EUROPE
Visarion Xhuvani,Albania,1115321286.0,C,2.8,SOUTHERN EUROPE
Visar Ymeri,Albania,1036757024.0,Stub,2.8,SOUTHERN EUROPE
Abdyl Ypi,Albania,1075914314.0,Stub,2.8,SOUTHERN EUROPE
Xhezair Zaganjori,Albania,1106753028.0,Start,2.8,SOUTHERN EUROPE
Menduh Zavalani,Albania,1071577719.0,GA,2.8,SOUTHERN EUROPE
